,Restaurant Name,URL,no of reviews
180,The Crepe Shop,https://www.yelp.com/biz/the-crepe-shop-chicago,(536 reviews)
181,Osteria Langhe,https://www.yelp.com/biz/osteria-langhe-chicago,(411 reviews)
182,Chicago q,https://www.yelp.com/biz/chicago-q-chicago,"(2,008 reviews)"
183,Tortoise Supper Club,https://www.yelp.com/biz/tortoise-supper-club-chicago-2,(642 reviews)
184,Forno Rosso Pizzeria Napoletana,https://www.yelp.com/biz/forno-rosso-pizzeria-napoletana-chicago-3,(566 reviews)
185,Lonesome Rose - Logan Square,https://www.yelp.com/biz/lonesome-rose-logan-square-chicago,(494 reviews)
186,The Monkey’s Paw,https://www.yelp.com/biz/the-monkeys-paw-chicago,(281 reviews)
187,Cira,https://www.yelp.com/biz/cira-chicago,(452 reviews)
188,Bazaar Meat by José Andrés,https://www.yelp.com/biz/bazaar-meat-by-jos%C3%A9-andr%C3%A9s-chicago,(125 reviews)
189,RL Restaurant,https://www.yelp.com/biz/rl-restaurant-chicago,(918 reviews)
190,Schwa,https://www.yelp.com/biz/schwa-chicago,(575 reviews)
191,Umai,https://www.yelp.com/biz/umai-chicago,"(1,079 reviews)"
192,The Delta,https://www.yelp.com/biz/the-delta-chicago,(459 reviews)
193,AO Hawaiian Hideout,https://www.yelp.com/biz/ao-hawaiian-hideout-chicago,(636 reviews)
194,Kubo Chicago,https://www.yelp.com/biz/kubo-chicago-chicago-2,
195,Pinstripes,https://www.yelp.com/biz/pinstripes-chicago-2,(733 reviews)
196,Somerset,https://www.yelp.com/biz/somerset-chicago-2,(587 reviews)
197,Lil Ba-Ba-Reeba,https://www.yelp.com/biz/lil-ba-ba-reeba-chicago,
198,Adalina,https://www.yelp.com/biz/adalina-chicago-2,(296 reviews)
199,Mindy’s Bakery,https://www.yelp.com/biz/mindys-bakery-chicago,"(2,529 reviews)"
200,Gemini,https://www.yelp.com/biz/gemini-chicago,(642 reviews)
201,Kizuki Ramen & Izakaya,https://www.yelp.com/biz/kizuki-ramen-and-izakaya-chicago,(869 reviews)
202,Ada Street,https://www.yelp.com/biz/ada-street-chicago,(564 reviews)
203,Swift & Sons,https://www.yelp.com/biz/swift-and-sons-chicago,(812 reviews)
204,Boeufhaus,https://www.yelp.com/biz/boeufhaus-chicago,(426 reviews)
205,Mercat a la Planxa,https://www.yelp.com/biz/mercat-a-la-planxa-chicago,"(1,546 reviews)"
206,Farm Bar Lakeview,https://www.yelp.com/biz/farm-bar-lakeview-chicago,(456 reviews)
207,True Food Kitchen,https://www.yelp.com/biz/true-food-kitchen-chicago-5,"(1,041 reviews)"
208,The Wormhole Coffee,https://www.yelp.com/biz/the-wormhole-coffee-chicago-3,"(1,264 reviews)"
209,La Scarola,https://www.yelp.com/biz/la-scarola-chicago,"(1,462 reviews)"
210,Acanto,https://www.yelp.com/biz/acanto-chicago-3,(512 reviews)
211,Lagunitas Brewing Company,https://www.yelp.com/biz/lagunitas-brewing-company-chicago,(654 reviews)
212,Scofflaw,https://www.yelp.com/biz/scofflaw-chicago,(817 reviews)
213,Willow Room,https://www.yelp.com/biz/willow-room-chicago,(343 reviews)
214,Nonnina,https://www.yelp.com/biz/nonnina-chicago,(721 reviews)
215,Frontera Grill,https://www.yelp.com/biz/frontera-grill-chicago,"(2,557 reviews)"
216,Andros Taverna,https://www.yelp.com/biz/andros-taverna-chicago-2,(305 reviews)
217,Piccolo Sogno,https://www.yelp.com/biz/piccolo-sogno-chicago,"(1,475 reviews)"
218,Pleasant House Pub,https://www.yelp.com/biz/pleasant-house-pub-chicago-3,(920 reviews)
219,Matisse Tavern & Grill,https://www.yelp.com/biz/matisse-tavern-and-grill-chicago-2,(184 reviews)
220,Le Bouchon,https://www.yelp.com/biz/le-bouchon-chicago,(689 reviews)
221,Pizzeria Portofino,https://www.yelp.com/biz/pizzeria-portofino-chicago,(665 reviews)
222,The Marq,https://www.yelp.com/biz/the-marq-chicago-2,(683 reviews)
223,Proxi,https://www.yelp.com/biz/proxi-chicago-3,(513 reviews)
224,Eden,https://www.yelp.com/biz/eden-chicago-11,(331 reviews)
225,CRĪO Bar and Restaurant,https://www.yelp.com/biz/cr%C4%ABo-bar-and-restaurant-chicago-3,(459 reviews)
226,Blue Door Kitchen & Garden,https://www.yelp.com/biz/blue-door-kitchen-and-garden-chicago-2,(668 reviews)
227,Bar Cargo,https://www.yelp.com/biz/bar-cargo-chicago,(279 reviews)
228,Coalfire Pizza,https://www.yelp.com/biz/coalfire-pizza-chicago,"(1,201 reviews)"
229,BITES Asian Kitchen + Bar,https://www.yelp.com/biz/bites-asian-kitchen-bar-chicago-3,(760 reviews)
230,Shanghai Terrace,https://www.yelp.com/biz/shanghai-terrace-chicago,(400 reviews)
231,Fulton Market Kitchen,https://www.yelp.com/biz/fulton-market-kitchen-chicago,(470 reviews)
232,Elske,https://www.yelp.com/biz/elske-chicago,(264 reviews)
233,Gyu-Kaku Japanese BBQ,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-chicago,"(1,813 reviews)"
234,Cebu,https://www.yelp.com/biz/cebu-chicago,(248 reviews)
235,EVER,https://www.yelp.com/biz/ever-chicago,(114 reviews)
236,La Storia,https://www.yelp.com/biz/la-storia-chicago,(375 reviews)
237,Qing Xiang Yuan Dumplings,https://www.yelp.com/biz/qing-xiang-yuan-dumplings-chicago-3,"(1,497 reviews)"
238,Homeslice,https://www.yelp.com/biz/homeslice-chicago,"(1,301 reviews)"
239,Labriola Chicago,https://www.yelp.com/biz/labriola-chicago-chicago-4,"(1,076 reviews)"
